Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
The Witch and the Hundred Knight,PS4,2015,Role-Playing,Nippon Ichi Software,0.02,0.01,0.05,0.01,0.09,,,,,,
Hyperdimension Idol Neptunia PP,PSV,2013,Misc,Namco Bandai Games,0.02,0.02,0.04,0.01,0.09,,,,,,
Ys I & II Chronicles,PSP,2009,Role-Playing,Falcom Corporation,0.05,0,0.03,0.01,0.09,,,,,,
Theme Hospital,PS,1998,Strategy,Electronic Arts,0.03,0.02,0.03,0.01,0.09,,,,,,
Dead or Alive 5,PSV,2013,Fighting,Tecmo Koei,0,0.05,0.03,0.01,0.09,,,,,,
Champion Jockey: G1 Jockey & Gallop Racer,Wii,2011,Sports,Tecmo Koei,0.04,0.03,0.01,0.01,0.09,,,,,,
Dead or Alive 5,XOne,2015,Fighting,Tecmo Koei,0.05,0.03,0.01,0.01,0.09,,,,,,
World Championship Games: A Track & Field Event,DS,2008,Sports,Ghostlight,0.08,0,0,0.01,0.09,,,,,,
Harvest Moon: Boy & Girl,PSP,2005,Simulation,Marvelous Interactive,0.08,0,0,0.01,0.09,,,,,,
Squinkies 2: Adventure Mall Surprize!,DS,2011,Platform,Activision,0.09,0,0,0.01,0.09,,,,,,
Field & Stream: Total Outdoorsman Challenge,X360,2010,Sports,505 Games,0.09,0,0,0.01,0.09,,,,,,
Johnny Bravo in The Hukka-Mega-Mighty-Ultra-Extreme Date-O-Rama,DS,2009,Action,Blast! Entertainment Ltd,0.09,0,0,0.01,0.09,,,,,,
Galactic Taz Ball,DS,2010,Platform,Warner Bros. Interactive Entertainment,0.09,0,0,0.01,0.09,,,,,,
The Story of Noah's Ark,DS,2010,Action,SouthPeak Games,0.09,0,0,0.01,0.09,,,,,,
Import Tuner Challenge (American sales),X360,2006,Racing,Ubisoft,0.07,0.01,0,0.01,0.09,,,,,,
Scooby-Doo! Unmasked,DS,2005,Platform,THQ,0.07,0.01,0,0.01,0.09,,,,,,
Jambo! Safari Animal Rescue,Wii,2009,Simulation,Sega,0.07,0.01,0,0.01,0.09,,,,,,
Game Hits!,DS,2010,Misc,Foreign Media Games,0.07,0.01,0,0.01,0.09,,,,,,
Crash Boom Bang!,DS,2006,Misc,Vivendi Games,0.07,0.01,0,0.01,0.09,,,,,,
Scooby-Doo! Who's Watching Who?,DS,2006,Adventure,THQ,0.08,0.01,0,0.01,0.09,,,,,,
National Geographic Challenge!,Wii,2011,Misc,Black Bean Games,0.07,0.02,0,0.01,0.09,,,,,,
NatGeo Challenge! Wild Life,PS3,2010,Misc,Black Bean Games,0.05,0.03,0,0.01,0.09,,,,,,
Dragon Tales: Dragon Seek,PS,2000,Platform,Ubisoft,0.05,0.03,0,0.01,0.09,,,,,,
Return Fire,PS,1996,Strategy,Time Warner Interactive,0.05,0.03,0,0.01,0.09,,,,,,
Running Wild,PS,1997,Racing,989 Studios,0.05,0.03,0,0.01,0.09,,,,,,
Brigandine: The Legend of Forsena,PS,1998,Strategy,Atlus,0.05,0.03,0,0.01,0.09,,,,,,
Sonic Boom: Fire & Ice,3DS,2016,Platform,Sega,0.05,0.03,0,0.01,0.09,,,,,,
Hello Kitty's Cube Frenzy,PS,1998,Puzzle,Culture Publishers,0.05,0.03,0,0.01,0.09,,,,,,
Tunnel B1,PS,1996,Action,Ocean,0.05,0.03,0,0.01,0.09,,,,,,
Porsche Challenge,PS,1997,Racing,Sony Computer Entertainment,0.05,0.03,0,0.01,0.09,,,,,,
Action Man-Operation Extreme,PS,N/A,Action,N/A,0.05,0.03,0,0.01,0.09,,,,,,
The Amazing Spider-Man (Console Version),WiiU,2013,Action,Activision,0.05,0.03,0,0.01,0.09,,,,,,
Invasion From Beyond,PS,1998,Shooter,GT Interactive,0.05,0.03,0,0.01,0.09,,,,,,
Codename Tenka,PS,1997,Shooter,Psygnosis,0.05,0.03,0,0.01,0.09,,,,,,
Walt Disney's The Jungle Book: Rhythm N'Groove,PS,2000,Misc,Sony Computer Entertainment,0.05,0.03,0,0.01,0.09,,,,,,
Cyberia,PS,1995,Action,Interplay,0.05,0.03,0,0.01,0.09,,,,,,
Wing Commander IV: The Price of Freedom,PS,1997,Simulation,Origin Systems,0.05,0.03,0,0.01,0.09,,,,,,
Kung Fu Panda 2,PS3,2011,Action,THQ,0.04,0.04,0,0.01,0.09,,,,,,
Populous: The Beginning,PS,1998,Strategy,Electronic Arts,0.05,0.04,0,0.01,0.09,,,,,,
Chess,PS,2001,Strategy,Success,0.05,0.04,0,0.01,0.09,,,,,,
Rosco McQueen: Firefighter Extreme,PS,1997,Action,Sony Computer Entertainment,0.05,0.04,0,0.01,0.09,,,,,,
X-COM: UFO Defense,PS,1995,Strategy,Microprose,0.05,0.04,0,0.01,0.09,,,,,,
Shockwave Assault,PS,1995,Simulation,Electronic Arts,0.05,0.04,0,0.01,0.09,,,,,,
Bogey: Dead 6,PS,1996,Simulation,Sony Computer Entertainment,0.05,0.04,0,0.01,0.09,,,,,,
Yu-Gi-Oh! GX: The Beginning of Destiny (US sales),PS2,2007,Strategy,Konami Digital Entertainment,0.05,0.04,0,0.01,0.09,,,,,,
MXGP 2,PS4,2016,Racing,Milestone S.r.l.,0.02,0.05,0,0.01,0.09,,,,,,
Adventure Time: Finn & Jake Investigations,PS3,2015,Action,Little Orbit,0.02,0.05,0,0.01,0.09,,,,,,
WRC 5: FIA World Rally Championship,PS3,2015,Sports,Bigben Interactive,0.02,0.05,0,0.01,0.09,,,,,,
Batman: A Telltale Game Series,PS4,2016,Adventure,Telltale Games,0.03,0.05,0,0.01,0.09,,,,,,
Star Wars: Empire at War - Gold Pack,PC,2007,Strategy,LucasArts,0.01,0.06,0,0.01,0.09,,,,,,
RollerCoaster Tycoon 3: Platinum,PC,2005,Strategy,Atari,0.01,0.06,0,0.01,0.09,,,,,,
Minecraft: Story Mode,PC,2015,Adventure,Mojang,0.02,0.06,0,0.01,0.09,,,,,,
Black & White 2,PC,2005,Strategy,Electronic Arts,0.01,0.07,0,0.01,0.09,,,,,,
Ghostbusters: The Video Game (DS Version),PC,2010,Action,Take-Two Interactive,0,0.08,0,0.01,0.09,,,,,,
U-Sing  2,Wii,2010,Misc,Mindscape,0,0.08,0,0.01,0.09,,,,,,
Singstar: Ultimate Party,PS3,2014,Misc,Sony Computer Entertainment Europe,0,0.08,0,0.01,0.09,,,,,,
The X-Factor,X360,2010,Misc,Deep Silver,0,0.08,0,0.01,0.09,,,,,,
Roary the Racing Car,DS,2009,Misc,Avanquest,0,0.08,0,0.01,0.09,,,,,,
Disney Planes Fire & Rescue,3DS,2014,Action,Disney Interactive Studios,0.01,0.08,0,0.01,0.09,,,,,,
Gundam Breaker,PSV,2013,Action,Namco Bandai Games,0,0,0.09,0,0.09,,,,,,
Unou no Tatsujin: Soukai! Machigai Museum 2,DS,2007,Misc,Namco Bandai Games,0,0,0.09,0,0.09,,,,,,
Kiniro no Corda 3,PSP,2010,Adventure,Tecmo Koei,0,0,0.09,0,0.09,,,,,,
Winning Post 6,PS2,2003,Sports,Tecmo Koei,0,0,0.09,0,0.09,,,,,,
Egg Monster Hero,DS,N/A,Role-Playing,Square Enix,0,0,0.09,0,0.09,,,,,Neverland,E
Metal Fight Beyblade,DS,2009,Action,Hudson Soft,0,0,0.09,0,0.09,,,,,,
Langrisser V: The End of Legend,SAT,1998,Strategy,NCS,0,0,0.09,0,0.09,,,,,,
PhotoKano,PSP,2012,Adventure,Kadokawa Shoten,0,0,0.09,0,0.09,,,,,,
Ouchi Mainichi Tamagotchi,3DS,2012,Action,Namco Bandai Games,0,0,0.09,0,0.09,,,,,,
Fresh PreCure! Asobi Collection,DS,2009,Action,Namco Bandai Games,0,0,0.09,0,0.09,,,,,,
Super Robot Wars OG: The Moon Dwellers,PS4,2016,Misc,Namco Bandai Games,0,0,0.09,0,0.09,,,,,,
Terranigma,SNES,1995,Role-Playing,Nintendo,0,0,0.09,0,0.09,,,,,,
Girls und Panzer: I Will Master Tankery,PSV,2014,Action,Namco Bandai Games,0,0,0.09,0,0.09,,,,,,
Ys VIII: Lacrimosa of Dana,PSV,2016,Role-Playing,Nihon Falcom Corporation,0,0,0.09,0,0.09,,,,,,
World Cup '98 France: Road to Win,SAT,1998,Sports,Sega,0,0,0.09,0,0.09,,,,,,
SD Gundam G Generation DS,DS,2005,Role-Playing,Namco Bandai Games,0,0,0.09,0,0.09,,,,,,
Bleach: Heat the Soul,PSP,2005,Fighting,Sony Computer Entertainment,0,0,0.09,0,0.09,,,,,,
Uta no Prince-Sama: Debut,PSP,2012,Adventure,Broccoli,0,0,0.09,0,0.09,,,,,,
Virtua Fighter CG Portrait Series Vol.3: Akira Yuki,SAT,1995,Misc,Sega,0,0,0.09,0,0.09,,,,,,
Pro Yakyuu Greatest Nine 98,SAT,1998,Sports,Sega,0,0,0.09,0,0.09,,,,,,
Hakuouki: Zuisouroku Portable,PSP,2010,Adventure,Idea Factory,0,0,0.09,0,0.09,,,,,,
Puyo Pop Fever (JP sales),DS,2004,Puzzle,Ignition Entertainment,0,0,0.09,0,0.09,,,,,,
Dragon Ball Kai: Ultimate Butouden,DS,2011,Fighting,Namco Bandai Games,0,0,0.09,0,0.09,,,,,,
World Soccer Winning Eleven 2010: Aoki Samurai no Chousen,PS2,2010,Sports,Konami Digital Entertainment,0,0,0.09,0,0.09,,,,,,
Resident Evil Chronicles HD,PS3,2012,Shooter,Capcom,0,0,0.09,0,0.09,,,,,,
Sound Novel Machi,SAT,1998,Adventure,ChunSoft,0,0,0.09,0,0.09,,,,,,
FIFA 2001: Major League Soccer,PS2,2000,Sports,Electronic Arts,0,0,0.09,0,0.09,,,,,,
Jikkyou Powerful Pro Yakyuu 14 Ketteiban,PS2,2007,Sports,Konami Digital Entertainment,0,0,0.09,0,0.09,,,,,,
Demon Chaos,PS2,N/A,Action,Konami Digital Entertainment,0,0,0.09,0,0.09,,,,,,
Blood of Bahamut,DS,2009,Role-Playing,Square Enix,0,0,0.09,0,0.09,,,,,,
Quiz Magic Academy DS: Futatsu no Jikuu Koku,DS,2010,Misc,Konami Digital Entertainment,0,0,0.09,0,0.09,,,,,,
Lilie no Atelier: Salburg no Renkinjutsushi 3,PS2,2001,Role-Playing,Gust,0,0,0.09,0,0.09,,,,,,
Seven: Molmorth no Kiheitai,PS2,2000,Action,Namco Bandai Games,0,0,0.09,0,0.09,,,,,,
Doraemon: Nobita to Midori no Kyojinden DS,DS,2008,Platform,Sega,0,0,0.09,0,0.09,,,,,,
Jikkyou Powerful Pro Yakyuu 9 Ketteiban,PS2,2002,Sports,Konami Digital Entertainment,0,0,0.09,0,0.09,,,,,,
Karaoke Joysound Wii Super DX: Hitori de Minna de Utai Houdai!,Wii,2010,Misc,Hudson Soft,0,0,0.09,0,0.09,,,,,,
Cardfight!! Vanguard: Ride to Victory,3DS,2013,Misc,FuRyu,0,0,0.09,0,0.09,,,,,,
Jikkyou Powerful Pro Yakyuu Portable 2,PSP,2007,Sports,Konami Digital Entertainment,0,0,0.09,0,0.09,,,,,,
Kawashima Ryuuta Kyouju Kanshuu Nouryoku Trainer Portable 2,PSP,2006,Misc,Sega,0,0,0.09,0,0.09,,,,,,
Ochaken no Heya DS 2,DS,2007,Simulation,MTO,0,0,0.09,0,0.09,,,,,,
Naruto RPG 3: Rejiuu vs Konoha Shoutai,DS,2006,Role-Playing,Takara Tomy,0,0,0.09,0,0.09,,,,,,
Dragon Ball Z: Shin Butouden,SAT,1995,Fighting,Namco Bandai Games,0,0,0.09,0,0.09,,,,,,
Super Robot Taisen MX Portable,PSP,2005,Strategy,Banpresto,0,0,0.09,0,0.09,,,,,,
Shin Ken to Mah? to Gakuenmono. Toki no Gakuen,PSP,2012,Role-Playing,Acquire,0,0,0.09,0,0.09,,,,,,
Uta no Prince-Sama: Music 2,PSP,2013,Adventure,Broccoli,0,0,0.09,0,0.09,,,,,,
"Saiyuuki: Kinkaku, Ginkaku no Inbou",DS,2007,Role-Playing,D3Publisher,0,0,0.09,0,0.09,,,,,,
Bleach: Heat the Soul 6,PSP,2009,Fighting,Sony Computer Entertainment,0,0,0.09,0,0.09,,,,,,
Mugen Keitai Disgaea,PS2,2007,Role-Playing,Tecmo Koei,0,0,0.09,0,0.09,,,,,,
Pachitte Chonmage Tatsujin 10: Pachinko Fuyu no Sonata,PS2,2007,Misc,Hackberry,0,0,0.09,0,0.09,,,,,,
Blood: The Last Vampire (Joukan),PS2,2000,Adventure,Sony Computer Entertainment,0,0,0.09,0,0.09,,,,,,
Clockwork Knight,SAT,1994,Platform,Sega,0,0,0.09,0,0.09,,,,,,
Pro Yaky? Spirits 2014,PSP,2014,Sports,Konami Digital Entertainment,0,0,0.09,0,0.09,,,,,,
Sidewinder Max,PS2,2000,Simulation,Asmik Ace Entertainment,0,0,0.09,0,0.09,,,,,,
Kenka Banchou 2: Full Throttle,PS2,2007,Action,Spike,0,0,0.09,0,0.09,,,,,,
Momu-chan Diet Wii: Figurobics by Chon Dayon,Wii,2010,Misc,Hudson Soft,0,0,0.09,0,0.09,,,,,,
Atelier Totori: The Adventurer of Arland,PSV,2012,Role-Playing,Gust,0,0,0.09,0,0.09,,,,,,
No More Heroes: Red Zone,PS3,2011,Action,Marvelous Interactive,0,0,0.09,0,0.09,,,,,,
Fate/Extella: The Umbral Star,PSV,2016,Action,PQube,0,0,0.09,0,0.09,,,,,Marvelous Inc.,T
Battle Stadium D.O.N,GC,2006,Fighting,Namco Bandai Games,0,0,0.09,0,0.09,,,,,,
Crayon Shin-Chan Shokkugan! Densetsu o Yobu Omake Daiketsusen!!,DS,2010,Action,Namco Bandai Games,0,0,0.09,0,0.09,,,,,,
Kurikin: Nano Island Story,DS,2007,Role-Playing,Nintendo,0,0,0.09,0,0.09,,,,,,
Naruto Shippuden: Gekito Ninja Taisen! EX 2,Wii,2007,Fighting,Takara Tomy,0,0,0.09,0,0.09,,,,,,
Lethal Enforcers,SNES,1993,Shooter,Konami Digital Entertainment,0,0,0.09,0,0.09,,,,,,
Romance of the Three Kingdoms XII,PS3,2012,Strategy,Tecmo Koei,0,0,0.09,0,0.09,,,,,,
Jikkyou Powerful Pro Yakyuu 2012,PSV,2012,Action,Konami Digital Entertainment,0,0,0.09,0,0.09,,,,,,
Sengoku Basara 4: Sumeragi,PS3,2015,Action,Capcom,0,0,0.09,0,0.09,,,,,,
Digimon World Re:Digitize Decode,3DS,2013,Role-Playing,Namco Bandai Games,0,0,0.09,0,0.09,,,,,,
Chou Jigen Game Neptune Mk-II,PS3,2011,Role-Playing,Compile Heart,0,0,0.09,0,0.09,,,,,,
Derby Stallion,SAT,1999,Sports,ASCII Entertainment,0,0,0.09,0,0.09,,,,,,
Karaoke Joysound Wii DX,Wii,2009,Misc,Hudson Soft,0,0,0.09,0,0.09,,,,,,
Sloane to MacHale no Nazo no Monogatari 2,DS,2009,Puzzle,Level 5,0,0,0.09,0,0.09,,,,,,
Tabi no Yubisashi Kaiwachou DS: DS Series 4 America,DS,2006,Misc,Nintendo,0,0,0.09,0,0.09,,,,,,
Mahjong Master,N64,1996,Misc,Konami Digital Entertainment,0,0,0.09,0,0.09,,,,,,
L: the proLogue to DEATH NOTE - Rasen no Wana,DS,2008,Adventure,Konami Digital Entertainment,0,0,0.09,0,0.09,,,,,,
Kuroko's Basketball: Ties to Future,3DS,2015,Action,Namco Bandai Games,0,0,0.09,0,0.09,,,,,,
Just Dance Wii U,WiiU,2014,Misc,Nintendo,0,0,0.09,0,0.09,,,,,,
Sega Bass Fishing,DC,1999,Sports,Sega,0,0,0.09,0,0.09,,,,,,
Million God,PS2,2002,Misc,Nippon Amuse,0,0,0.09,0,0.09,,,,,,
Lost Heroes,3DS,2012,Role-Playing,Namco Bandai Games,0,0,0.09,0,0.09,,,,,,
SD Gundam G Generation Genesis,PSV,2016,Strategy,Namco Bandai Games,0,0,0.09,0,0.09,,,,,,
Shin Megami Tensei: Devil Summoner - Raidou Kuzunoha vs. The Soulless Army,PS2,2006,Role-Playing,Tecmo Koei,0,0,0.09,0,0.09,,,,,,
Reading Training,DS,2007,Misc,Benesse,0,0,0.08,0,0.09,,,,,,
Bleach GC: Tasogare Ni Mamieru Shinigami,GC,2005,Fighting,Sega,0,0,0.08,0,0.09,,,,,,
Famicom Mini: Makaimura,GBA,2004,Platform,Capcom,0,0,0.08,0,0.09,,,,,,
Devil May Cry 4,PS4,2015,Action,Capcom,0.01,0,0.08,0,0.09,,,,,,
Castlevania Dracula X,SNES,1995,Platform,Konami Digital Entertainment,0.03,0.01,0.05,0,0.09,,,,,,
Retro Game Challenge (US sales),DS,2007,Action,Namco Bandai Games,0.09,0,0,0,0.09,,,,,,
2-in-1 Game Pack: Spider-Man & Spider-Man 2,GBA,2005,Platform,Activision,0.06,0.02,0,0,0.09,,,,,,
Royal Palace of White Sword and The City of Gentiles,XB,2005,Role-Playing,Take-Two Interactive,0.06,0.02,0,0,0.09,,,,,,
ChuChu Rocket!,GBA,2001,Strategy,Atari,0.06,0.02,0,0,0.09,,,,,,
SeaWorld Adventure Parks: Shamu's Deep Sea Adventure,GC,2005,Adventure,Activision,0.07,0.02,0,0,0.09,,,,,,
Whacked!,XB,2002,Misc,Microsoft Game Studios,0.07,0.02,0,0,0.09,,,,,,
Cabela's Big Game Hunter,GBA,2002,Sports,Activision Value,0.07,0.02,0,0,0.09,,,,,,
Yourself Fitness,XB,2004,Sports,responDESIGN,0.07,0.02,0,0,0.09,,,,,,
MX SuperFly featuring Ricky Carmichael,GC,2002,Racing,THQ,0.07,0.02,0,0,0.09,,,,,,
Disney's The Haunted Mansion,XB,2003,Platform,Take-Two Interactive,0.07,0.02,0,0,0.09,,,,,,
Top Gun: Firestorm Advance,GBA,2002,Shooter,Titus,0.07,0.02,0,0,0.09,,,,,,
Golden Nugget 64,N64,1998,Misc,Electronic Arts,0.07,0.02,0,0,0.09,,,,,,
Robotron 64,N64,1998,Shooter,GT Interactive,0.07,0.02,0,0,0.09,,,,,,
Batman Beyond: Return of the Joker,N64,2000,Action,Ubisoft,0.07,0.02,0,0,0.09,,,,,,
V-Rally Edition 99,N64,1998,Racing,Infogrames,0.07,0.02,0,0,0.09,,,,,,
Might & Magic Heroes VII,PC,2015,Strategy,Ubisoft,0,0.08,0,0,0.09,,,,,,
Inazuma Eleven 3,3DS,2013,Role-Playing,Nintendo,0,0.08,0,0,0.09,,,,,,
SingStar: Made In Germany,PS3,2009,Misc,Sony Computer Entertainment,0,0.06,0,0.02,0.08,,,,,,
WSC Real 11: World Snooker Championship,PS3,2011,Sports,Koch Media,0,0.06,0,0.02,0.08,,,,,,
Slayers Royal,PS,1998,Role-Playing,Kadokawa Shoten,0,0,0.08,0.01,0.08,,,,,,
King's Field (Japan),PS,1994,Role-Playing,From Software,0,0,0.08,0.01,0.08,,,,,,
Final Fantasy VI,PS,1999,Role-Playing,Sony Computer Entertainment,0,0,0.08,0.01,0.08,,,,,,
The King of Fighters '96,PS,1997,Fighting,SNK,0,0,0.07,0.01,0.08,,,,,,
Real Robots Final Attack,PS,1998,Shooter,Banpresto,0,0,0.07,0.01,0.08,,,,,,
Romance of the Three Kingdoms 13,PS4,2015,Action,Tecmo Koei,0.02,0,0.05,0.01,0.08,,,,,,
Guilty Gear Xrd -Revelator-,PS4,2016,Fighting,PQube,0.03,0,0.05,0.01,0.08,,,,,,
A-Train,PS,1995,Simulation,Sony Computer Entertainment,0.02,0.01,0.04,0.01,0.08,,,,,,
UEFA Euro 2016,PS3,2016,Sports,Konami Digital Entertainment,0,0.04,0.03,0.01,0.08,,,,,,
The Voice,X360,2014,Action,Activision,0.07,0,0,0.01,0.08,,,,,,
Man vs. Wild,PS3,2010,Action,Abylight,0.07,0,0,0.01,0.08,,,,,,
The $1 Pyramid,Wii,2011,Misc,Ubisoft,0.07,0,0,0.01,0.08,,,,,,
New International Track & Field,DS,2008,Sports,Konami Digital Entertainment,0.07,0,0,0.01,0.08,,,,,,
Diego's Build & Rescue,DS,2010,Action,Take-Two Interactive,0.07,0,0,0.01,0.08,,,,,,
Scooby-Doo! Who's Watching Who?,PSP,2006,Adventure,THQ,0.07,0,0,0.01,0.08,,,,,,
SCORE International Baja 1000: The Official Game,PS3,2008,Racing,Activision,0.07,0,0,0.01,0.08,,,,,,
Backyard NBA Basketball,DS,2007,Sports,Atari,0.07,0,0,0.01,0.08,,,,,,
50 Cent: Bulletproof,PSP,2006,Action,Vivendi Games,0.08,0,0,0.01,0.08,,,,,,
Frantix,PSP,2005,Puzzle,Ubisoft,0.08,0,0,0.01,0.08,,,,,,
Midnight Play! Pack,DS,2008,Misc,Ubisoft,0.08,0,0,0.01,0.08,,,,,,
Happy Feet Two,Wii,N/A,Action,Warner Bros. Interactive Entertainment,0.06,0.01,0,0.01,0.08,,,,,,
Cartoon Network: Punch Time Explosion XL,Wii,2011,Fighting,Crave Entertainment,0.07,0.01,0,0.01,0.08,,,,,,
Witches & Vampires: The Secrets of Ashburry,DS,2010,Adventure,DTP Entertainment,0.05,0.02,0,0.01,0.08,,,,,,
Resident Evil Zero,XOne,2016,Action,Capcom,0.05,0.02,0,0.01,0.08,,,,,,
Zatch Bell! Mamodo Battles,PS2,2005,Fighting,Namco Bandai Games,0.04,0.03,0,0.01,0.08,,,,,,
The Penguins of Madagascar: Dr. Blowhole Returns - Again!,PS3,2011,Action,THQ,0.04,0.03,0,0.01,0.08,,,,,,
Pimp My Ride: Street Racing,PS2,2009,Racing,Activision,0.04,0.03,0,0.01,0.08,,,,,,
Slam 'n Jam '96 featuring Magic & Kareem,PS,1995,Sports,Crystal Dynamics,0.04,0.03,0,0.01,0.08,,,,,,
R/C Stunt Copter,PS,1998,Simulation,Interplay,0.04,0.03,0,0.01,0.08,,,,,,
Tempest 3X,PS,1995,Shooter,Interplay,0.04,0.03,0,0.01,0.08,,,,,,
Ogre Battle Series: Tactics Ogre,PS,1997,Role-Playing,Atlus,0.04,0.03,0,0.01,0.08,,,,,,
Skydiving Extreme,PS,2001,Sports,Banpresto,0.04,0.03,0,0.01,0.08,,,,,,
Striker 96,PS,1995,Sports,Time Warner Interactive,0.04,0.03,0,0.01,0.08,,,,,,
Ape Escape: Pumped & Primed,PS2,2004,Misc,Sony Computer Entertainment,0.04,0.03,0,0.01,0.08,,,,,,
Auto Destruct,PS,1998,Action,Electronic Arts,0.04,0.03,0,0.01,0.08,,,,,,
Skeleton Warriors,PS,1996,Platform,Virgin Interactive,0.04,0.03,0,0.01,0.08,,,,,,
The Penguins of Madagascar: Dr. Blowhole Returns - Again!,Wii,2011,Action,THQ,0.04,0.03,0,0.01,0.08,,,,,,
Koudelka,PS,1999,Role-Playing,Atari,0.05,0.03,0,0.01,0.08,,,,,,
Wreckin Crew,PS,1998,Racing,Telstar,0.05,0.03,0,0.01,0.08,,,,,,
S.C.A.R.S,PS,1998,Racing,Ubisoft,0.05,0.03,0,0.01,0.08,,,,,,
The King of Fighters '98: Dream Match Never Ends,PS,1999,Fighting,SNK Playmore,0.05,0.03,0,0.01,0.08,,,,,,
Armorines: Project S.W.A.R.M.,PS,2000,Shooter,Acclaim Entertainment,0.05,0.03,0,0.01,0.08,,,,,,
Blades of Blood: Samurai Shodown III,PS,1995,Fighting,Sony Computer Entertainment,0.05,0.03,0,0.01,0.08,,,,,,
Iron Man / X-O Manowar in Heavy Metal,PS,1996,Platform,Acclaim Entertainment,0.05,0.03,0,0.01,0.08,,,,,,
Robotron X,PS,1996,Shooter,GT Interactive,0.05,0.03,0,0.01,0.08,,,,,,
Sherlock Holmes: Crimes & Punishments,XOne,2014,Adventure,Focus Home Interactive,0.03,0.04,0,0.01,0.08,,,,,,
Adventure Time: Explore the Dungeon Because I Don't Know!,X360,2013,Action,D3Publisher,0.03,0.04,0,0.01,0.08,,,,,,
Adventure Time: Finn & Jake Investigations,3DS,2015,Action,Little Orbit,0.03,0.05,0,0.01,0.08,,,,,,
Adventure Time: Finn & Jake Investigations,X360,2015,Action,Little Orbit,0.03,0.05,0,0.01,0.08,,,,,,
SingStar Apres-Ski Party 2,PS3,2010,Misc,Sony Computer Entertainment,0,0.06,0,0.01,0.08,,,,,,
Zoo Tycoon (2013),X360,2013,Simulation,Microsoft Game Studios,0.02,0.06,0,0.01,0.08,,,,,,
Great Party Games,Wii,2010,Misc,O-Games,0,0.07,0,0.01,0.08,,,,,,
Thomas & Friends: Hero of the Rails,DS,2010,Misc,Unknown,0,0.07,0,0.01,0.08,,,,,,
Edna & Harvey: Harvey's New Eyes,PC,2011,Adventure,Rondomedia,0,0.07,0,0.01,0.08,,,,,,
EyeCreate,PS3,2007,Misc,Sony Computer Entertainment,0,0.07,0,0.01,0.08,,,,,,
Pro Cycling Manager 2016,PS4,2016,Sports,Focus Home Interactive,0,0.07,0,0.01,0.08,,,,,,
Horrid Henry's Horrid Adventure,DS,2010,Adventure,Asylum Entertainment,0,0.07,0,0.01,0.08,,,,,,
Destroy All Humans! Path of the Furon,PS3,2009,Action,THQ,0,0.08,0,0.01,0.08,,,,,,
Princess Maker 2,SAT,1995,Simulation,Micro Cabin,0,0,0.08,0,0.08,,,,,,
Aibou DS,DS,2009,Adventure,Tecmo Koei,0,0,0.08,0,0.08,,,,,,
Tokimeki Memorial: Taisen Pazurudama,SAT,1996,Puzzle,Konami Digital Entertainment,0,0,0.08,0,0.08,,,,,,
Beat Sketch!,PS3,2010,Misc,Sony Computer Entertainment,0,0,0.08,0,0.08,,,,,,
Bleach: Heat the Soul 5,PSP,2008,Fighting,Sony Computer Entertainment,0,0,0.08,0,0.08,,,,,,
Virtua Fighter CG Portrait Series Vol.2: Jacky Bryant,SAT,1995,Misc,Sega,0,0,0.08,0,0.08,,,,,,
Famicom Mini: Famicom Mukashi Banashi - Shin Oniga Shima Zenkouhen,GBA,2004,Adventure,Nintendo,0,0,0.08,0,0.08,,,,,,
Toukiden 2,PS4,2016,Action,Tecmo Koei,0,0,0.08,0,0.08,,,,,Koei Tecmo Games,
SD Gundam G Generation Genesis,PS4,2016,Strategy,Namco Bandai Games,0,0,0.08,0,0.08,,,,,,
Pachitte Chonmage Tatsujin 13: Pachinko Hissatsu Shigotojin III,PS2,2007,Misc,Hackberry,0,0,0.08,0,0.08,,,,,,
Theme Park,SAT,1994,Simulation,Electronic Arts,0,0,0.08,0,0.08,,,,,,
Famicom Mini: Mario Bros.,GBA,2004,Platform,Nintendo,0,0,0.08,0,0.08,,,,,,
RockMan EXE 4.5 Real Operation,GBA,2004,Role-Playing,Capcom,0,0,0.08,0,0.08,,,,,,
Derby Tsuku: Derby Uma o Tsukurou!,DC,2000,Sports,Sega,0,0,0.08,0,0.08,,,,,,
The Seven Deadly Sins: Unjust Sin,3DS,2015,Adventure,Namco Bandai Games,0,0,0.08,0,0.08,,,,,,
Kidou Senshi Gundam 00,DS,2008,Action,Namco Bandai Games,0,0,0.08,0,0.08,,,,,,
Chibi Maruko-Chan: Harikiri 365-Nichi no Maki,SNES,1991,Misc,Epoch,0,0,0.08,0,0.08,,,,,,
SaGa 3: Jikuu no Hasha - Shadow or Light,DS,2011,Role-Playing,Square Enix,0,0,0.08,0,0.08,,,,,,
Famicom Mini: Adventure Island,GBA,2004,Action,Hudson Soft,0,0,0.08,0,0.08,,,,,,
Tokimeki Memorial: Girl's Side,PS2,2002,Adventure,Konami Digital Entertainment,0,0,0.08,0,0.08,,,,,,
Orega Kantoku Da! Gekitou Pennant Race,PS2,2000,Sports,Enix Corporation,0,0,0.08,0,0.08,,,,,,
Jikkyou Powerful Pro Yakyuu 12,GC,2005,Sports,Konami Digital Entertainment,0,0,0.08,0,0.08,,,,,,
